company,sub_industry,type_company,location,url_page_details
42Gears-Mobility-Systems-Pvt-Ltd," IT Software , QA -Testing
"," Startups
"," Bangalore / Bengaluru / Karnataka 
	- 560102
",https://www.fundoodata.com/companies-detail/42Gears-Mobility-Systems-Pvt-Ltd/132642.html?&pageno=47
4C-Learning-Solutions-Pvt-Ltd," IT Software , QA -Testing
"," SMEs
"," Bangalore / Bengaluru / Karnataka 
	- 560076
",https://www.fundoodata.com/companies-detail/4C-Learning-Solutions-Pvt-Ltd/86283.html?&pageno=48
4G-Identity-Solutions-Pvt-Ltd," IT Software , QA -Testing
"," Industry Top
"," Hyderabad / Telangana 
	- 500034
",https://www.fundoodata.com/companies-detail/4G-Identity-Solutions-Pvt-Ltd/45230.html?&pageno=49
4i-Apps-Solutions-Pvt-Ltd," IT Software , QA -Testing
"," SMEs
"," Chennai / Tamil Nadu 
	- 600119
",https://www.fundoodata.com/companies-detail/4i-Apps-Solutions-Pvt-Ltd/87782.html?&pageno=50
4M-Technosol-Pvt-Ltd," IT Software , QA -Testing
"," SMEs
"," New Delhi / Delhi 
	- 110065
",https://www.fundoodata.com/companies-detail/4M-Technosol-Pvt-Ltd/147048.html?&pageno=51
4th-Quarter-Technologies," IT Software , QA -Testing
"," SMEs
"," Noida / Uttar Pradesh 
	- 201301
",https://www.fundoodata.com/companies-detail/4th-Quarter-Technologies/142202.html?&pageno=52
5-Elements," IT Software , QA -Testing
"," SMEs
"," Durg / Chattisgarh 
	- 490022
",https://www.fundoodata.com/companies-detail/5-Elements/113975.html?&pageno=53
5Cube-eCommerce-Web-Solutions-Pvt-Ltd," IT Software , QA -Testing
"," MNC
"," Kolkata / West Bengal 
	- 700042
",https://www.fundoodata.com/companies-detail/5Cube-eCommerce-Web-Solutions-Pvt-Ltd/144425.html?&pageno=54
5M-Consultants," IT- Hardware
"," SMEs
"," Bangalore / Bengaluru / Karnataka 
	- 560082
",https://www.fundoodata.com/companies-detail/5M-Consultants/113873.html?&pageno=55
6-Degrees-IT-Pvt-Ltd," IT- Consulting
"," MNC
"," Indore / Madhya Pradesh 
	- 452001
",https://www.fundoodata.com/companies-detail/6-Degrees-IT-Pvt-Ltd/81547.html?&pageno=56
63-Moons-Technologies-Ltd-(-FTIL-)," IT Software , QA -Testing
"," Industry Top
"," Mumbai / Maharashtra 
	- 400093
",https://www.fundoodata.com/companies-detail/63-Moons-Technologies-Ltd-(-FTIL-)/5793.html?&pageno=57
6d-Telecom-Solutions-Pvt-Ltd," IT- Telecom
"," SMEs
"," Gurgaon/Gurugram / Haryana 
	- 122002
",https://www.fundoodata.com/companies-detail/6d-Telecom-Solutions-Pvt-Ltd/79197.html?&pageno=58
