company,address,location_phones,web_company
8K Miles Software Services Ltd,"  Address - No.5, II Floor, Srinivas Towers, Cenotaph Road				  				  Teynampet","				        Chennai	                Tamil Nadu , 600018	 (044) 66028000",www.8kmilessoftwareservices.com
8KMiles Software Services Ltd,"  Address - 3rd Floor, Mips De Palazzo				  				  No 7, III Street, Ganapathy Colony, Teynampet","				        Chennai	                Tamil Nadu , 600018	 (044) 66028000  66028001",www.8kmiles.com
91Digital Web Pvt Ltd,"  Address - 3rd Floor, 348, Udyog Vihar				  				  Phase - II","				        Gurgaon/Gurugram	                Haryana , 122015	 (0124) 9840870764",www.91mobiles.com
9artsmedia,"  Address - H.No. 8-3- 19/8/4 S1 Sri Nilayam, Near Sarathi				  				  Studio Yellareddy Guda","				        Hyderabad	                Telangana , 500073	 (040) 40070124",www.9artsmedia.com
9Series Solutions Pvt Ltd,"  Address - 7, Abhishree Corporate Park - 1st Floor,				  				  Opp. Shell Petrol Pump, Iskon - Ambli Road,","				        Ahmedabad	                Gujarat , 380058	 (079) 65065005",www.9seriessoftwares.com
9Stone Technology Pvt Ltd,"  Address - A.P. 1456, 1st Sector,2nd Street, K.K.Nagar				        Chennai	                Tamil Nadu , 600078	 (044) 42047574",www.9stonestech.com,
A G N Software Consultants,"  Address - G-1/68, Neelkanth Colony, Ajmer Road,				        Jaipur	                Rajasthan , 302021	 (0141) 2353318",www.agnsoft.com,
A Little World Pvt Ltd,"  Address - 201, 2nd Floor (4th Level),				  				  Platinum Techno Park, Sector 30A","				        Navi Mumbai	                Maharashtra , 400703	 (022) 27814411",www.alittleworld.com
A Niche Infotech Solutions Pvt Ltd,"  Address - 111, MIT Industrial Estate, Opposite Mahavir Industrial Estate				  				  Chinch pada","				        Vasai	                Maharashtra , 401208	 (0250) 8080181661",www.aniche-solutions.com
A R Software Pvt Ltd,"  Address - Office: 414-415A,DLF Centre Point				  				  Sector-11","				        Faridabad	                Haryana , 121002	 (0129) 4175058",www.vestureindia.com
A Techrays Engineering Pvt Ltd,"  Address - 4th Floor, Chandra Reddy Building				  				  Marathahalli","				        Bangalore / Bengaluru	                Karnataka , 560037	 (080) 8884416522",www.atechraysengineering.co.in
A V Solutions,  Address - TeenKanya - Sristi				  				  137 Purbadiganta,"				        Kolkata	                West Bengal , 700075	 (033) 24169117",www.avsolutions.in
A&D Technologies,"  Address - J2, 100 Feet rd, Gyan Sarowar Colony				        Aligarh	                Uttar Pradesh , 202001	 (0571) 8979509677",www.andtech.in,
A&S Software Technologies,  Address - 4th Floor 6th Block Kasi Arcade				  				  No:116 Theagaraya Road T.Nagar,"				        Chennai	                Tamil Nadu , 600017	 (044) 28158996  28158001",www.asst.co.in
A-One Tech Solutions,"  Address - A-333/1, Second Floor, Keshri Market, LalKuan				        New Delhi	                Delhi , 110044	 (011) 9711772262",www.aonetech.in,
A1 Future Technologies Pvt Ltd,"  Address - 31 Raja Manindra Road				        Kolkata	                West Bengal , 700037	 (033) 9903226677",www.a1future.com,
A2Mac1 India Pvt Ltd,"  Address - Sri Kailash Logicity, Building  3				  				  NO, 165 Venbakkam Village, Walajabad Road","				        Chennai	                Tamil Nadu , 631604	 (044) 9940182699",www.a2mac1.com
A2Z applications.com Pvt Ltd,"  Address - Level 8, RDB Boulevard, Plot K-1				  				  Action area 2,New Town Rajarhat","				        Kolkata	                West Bengal , 700156	 (033) 8080801947",www.a2zapps.com
A3 Internet Wings Pvt Ltd,"  Address - 811, Agarwal B2B Centre,				  				  D'Monte Lane, Off Link Road, Malad (W)","				        Mumbai	                Maharashtra , 400064	 (022) 40162900",www.a3internetwings.com
A4 Creations Pvt Ltd,"  Address - 88B Lake View Road				        Kolkata	                West Bengal , 700026	 (033) 24646444",www.a4creations.com,
AAA Digital-X Solutions Pvt Ltd,"  Address - Patton House 1,No 96,4th B Cross, 5th Block				  				  Koramangala","				        Bangalore / Bengaluru	                Karnataka , 560095	 (080) 41717018",www.digital-x.com
AAA Infotech Pvt Ltd,"  Address - H-213, Sector-63				        Noida	                Uttar Pradesh , 201301	 (0120) 4102332  8447914493",,
AAA Technologies Pvt Ltd,"  Address - 278-280,F Wing				  				  Solaris-1,  Saki Vihar Road,  Opp. L&T Gate No. 6,  Powai, Andheri East","				        Mumbai	                Maharashtra , 400072	 (022) 28573815 28573816",www.aaatechnologies.co.in
Aabasoft Technologies India Pvt Ltd,  Address - Aabasoft  Chakolas Heights				  				  Seaport Airport Road,"				        Kochi	                Kerala , 682030	 (0484) 9249151111",www.aabasoft.com
Aabsys IT Pvt Ltd,"  Address - Plot No.E/54 & E/54/1, Infocity				  				  Chandaka Industrial Estate, Patia","				        Bhubaneswar	                Orissa , 751024	 (0674) 6621004",www.aabsys.com
Aadhityaa Infomedia Solutions,  Address - Old No.26/2 New No.77/2				  				  T Nagar,"				        Chennai	                Tamil Nadu , 600017	 (044) 28342821   28342822",www.aadhityaa.com
Aadhocc Software Technologies Pvt Ltd,"  Address - Prasanthi Lane,Palarivattom				        Kochi	                Kerala , 682025	 (0484) 4044639",www.aadhocc.com,
Aadi Infotech,"  Address - 210, Anant Laxmi Chember Dada Patil Wadi Road				  				  Opp. Waman Hari Pethe Sons Thane (W)","				        Mumbai	                Maharashtra , 400601	 (022) 25440482",
Aaditri Technology,"  Address - D-60, Gali No.3. Near Metro Pillar No. 33				  				  Laxmi Nagar","				        New Delhi	                Delhi , 110092	 (011) 42444034",www.aaditritechnology.com
Aadya It Solutions,"  Address - 101,Anikethana Road,				  				  Kuvempu Nagar,","				        Mysore	                Karnataka , 570023	 (0821) 4263889",www.aadyaitsolutions.in
Aaerosoft,"  Address - 12/12A, U K Dutta Road				  				  Dum Dum Cantonment","				        Kolkata	                West Bengal , 700028	 (033) 9038717383",www.aaerosoft.com
Aakit Technologies Pvt Ltd,"  Address - 412, Shivai Plaza Premises Co-Op. Society Ltd, 79 A, Marol Industrial Estate,				  				  Marol, Andheri (E),","				        Mumbai	                Maharashtra , 400059	 (022) 26185630",www.aakit.com
Aalpha Information Systems India Pvt Ltd,"  Address - Block #10, Diamond Corner				  				  Opp. Sawai Gandharva Hall, Deshpande Nagar","				        Hubli	                Karnataka , 580021	 (0836) 4262222  4251105",www.aalpha.net
